date,ensemble
2023-12-15,940513.8069937286
2023-12-18,938606.4802839812
2023-12-19,945258.3412649689
2023-12-20,932678.759950882
2023-12-21,938752.0498488006
2023-12-22,940200.4852583464
2023-12-26,944824.37206102
2023-12-27,947705.0374624786
2023-12-28,949244.3348143158
2023-12-29,949239.235265976
2024-01-02,953355.172476059
2024-01-03,946892.4942419586
2024-01-04,948324.0172751008
2024-01-05,949913.3505079804
2024-01-08,956009.5037559893
2024-01-09,950737.1087179031
2024-01-10,950720.3756308825
2024-01-11,951765.3685340768
2024-01-12,946512.5790956364
2024-01-16,944070.2661515753
2024-01-17,942081.3609773198
2024-01-18,942665.4210206548
2024-01-19,949875.7343141118
2024-01-22,956319.3787843266
2024-01-23,952697.3987199344
2024-01-24,949101.848274378
2024-01-25,953098.1197663824
2024-01-26,954105.4039613286
2024-01-29,959953.299293665
2024-01-30,966799.1277162114
2024-01-31,958358.6960908452
2024-02-01,962148.8100358524
2024-02-02,967919.249847559
2024-02-05,958173.8652879276
2024-02-06,962980.8100511112
2024-02-07,968019.0866471806
2024-02-08,972868.6416245976
2024-02-09,968952.101852564
2024-02-12,975178.0477143804
2024-02-13,960463.721130518
2024-02-14,964066.9196321048
2024-02-15,976267.7066728154
2024-02-16,974254.557975916
2024-02-20,975492.5780259648
2024-02-21,977933.5383836308
2024-02-22,985800.8083421268
2024-02-23,986440.2663270512
2024-02-26,986044.1232530156
2024-02-27,981974.3895112552
2024-02-28,981151.476120142
2024-02-29,979947.0883485356
2024-03-01,980405.138809351
2024-03-04,979126.6079789676
2024-03-05,971206.4543382206
2024-03-06,972264.3443986456
2024-03-07,973985.5077668704
2024-03-08,974300.0634767094
2024-03-11,980840.4802400152
2024-03-12,983665.175666956
2024-03-13,986150.5994416752
2024-03-14,981241.2089311162
2024-03-15,976763.100189356
2024-03-18,976924.9205781498
2024-03-19,984736.1291581668
2024-03-20,994897.7643739262
2024-03-21,1006518.0187684576
2024-03-22,999241.1643907108
2024-03-25,996656.0177613774
2024-03-26,998712.846634058
2024-03-27,1010366.5177461186
2024-03-28,1014291.9060746708
2024-04-01,1008383.3147203008
2024-04-02,995677.5096589604
2024-04-03,996052.0331803836
2024-04-04,981984.6636430302
2024-04-05,987985.050087122
