date,ensemble,dji
2024-02-05,1020271.0784205706,1049065.4537398135
2024-02-06,1027295.789770058,1052925.9991831963
2024-02-07,1033358.8210868152,1057190.0349944346
2024-02-08,1035699.9347972184,1058528.5254023294
2024-02-09,1031127.5715522082,1057035.1092141334
2024-02-12,1039356.352155617,1060470.596400191
2024-02-13,1023448.5976866992,1046130.6191959555
2024-02-14,1028833.143461159,1050272.1878328277
2024-02-15,1044079.4163989336,1059807.5439565866
2024-02-16,1040809.4402369768,1055840.5470983447
2024-02-20,1034965.4153823168,1054086.074030179
2024-02-21,1039208.761178902,1055410.0434827872
2024-02-22,1051512.8981799397,1067897.958257592
2024-02-23,1053337.6250209124,1069604.1705037758
2024-02-26,1053129.9320067675,1067901.2681812237
2024-02-27,1052249.944625786,1065254.824080228
2024-02-28,1052864.7288340838,1064615.4749606946
2024-02-29,1053819.3477668078,1065910.2957309994
2024-03-01,1054881.0744628222,1068397.3296390316
2024-03-04,1054727.488185814,1065730.919224517
2024-03-05,1044312.0363959582,1054670.7560239274
2024-03-06,1046191.4726809772,1056744.2630214798
2024-03-07,1049270.9072989733,1060305.8476207254
2024-03-08,1048211.0319346696,1058429.1209216537
2024-03-11,1050712.6136950762,1059712.9442037633
2024-03-12,1055428.9999160082,1066158.9670902835
2024-03-13,1060991.1902751238,1067193.0512958083
2024-03-14,1055597.4168738634,1063430.3087571503
2024-03-15,1056565.8737963946,1058212.5878531141
2024-03-18,1059631.322246483,1060280.649492434
2024-03-19,1068085.7793902666,1069036.4652151049
2024-03-20,1079287.6210383684,1080007.2604776435
2024-03-21,1095656.9768351824,1087366.608743003
2024-03-22,1082936.3606833727,1079016.9526814385
2024-03-25,1079635.010452202,1074581.8685586618
2024-03-26,1083789.479694298,1073725.9863705887
2024-03-27,1099741.2888469012,1086784.5960425057
2024-03-28,1104414.0508536608,1088077.2813782096
2024-04-01,1095309.1168383867,1081503.0256439003
2024-04-02,1084389.706432274,1070662.1715768317
2024-04-03,1089781.2066745074,1069484.1590792006
2024-04-04,1074142.3696498186,1054992.9931052155
2024-04-05,1085782.928359917,
